Id,Designator,Package,Designation,,Item Name,Part Number,,,Vendor,Quantity,Cost Per Item,,Cost,,Comments,URL
42,"SW1,SW4",SPST_Pushbutton,SW_Push,,Pushbutton Switch,CKN9088CT-ND,,,Digikey,2,0.22,,0.44,,,https://www.digikey.com/products/en?keywords=CKN9088CT-ND
43,SW2,SPDT_Switch,SW_SPDT,,SPDT Switch,CKN9628-ND,,,Digikey,1,5.34,,5.34,,,https://www.digikey.com/products/en?keywords=CKN9628-ND
44,SW3,SPST_DIP_Switch,Lead Voltage Trigger,,SPST DIP Switch,CKN10358-ND,,,Digikey,1,1.19,,1.19,,,https://www.digikey.com/products/en?keywords=CKN10358-ND
45,U1,OKI_Horisontal,OKI,,5V OKI,811-2692-ND,,,Digikey,1,4.3,,4.3,,,https://www.digikey.com/product-detail/en/murata-power-solutions-inc/OKI-78SR-5-1.5-W36H-C/811-2692-ND/3438675
46,,,ATMEGA328P,,ATMEGA328PU,ATMEGA328-PU-ND,,,Digikey,1,1.96,,1.96,,,https://www.digikey.com/product-detail/en/microchip-technology/ATMEGA328-PU/ATMEGA328-PU-ND/2271026
47,U2,DIP-28_W7.62mm,,,ATMEGA 328 Housing,ED3050-5-ND,,,Digikey,1,0.33,,0.33,,,https://www.digikey.com/products/en?keywords=ED3050-5-ND
48,"U3,U5",SOIC-8_3.9x4.9mm_Pitch1.27mm,FAN3122TMXCT-ND,,GateDriver,FAN3122TMXCT-ND,,,Digikey,2,1.61,,3.22,,,https://www.digikey.com/products/en?keywords=FAN3122TMXCT-ND
49,U4,SSOP-28_5.3x10.2mm_Pitch0.65mm,FT232RL,,FTDI,FT232RL,,,Digikey,1,4.5,,4.5,,,https://www.digikey.com/product-detail/en/ftdi-future-technology-devices-international-ltd/FT232RL-REEL/768-1007-1-ND/1836402
50,Y1,Crystal_SMD_HC49-SD_HandSoldering,Crystal,,8MHz Crystal,XC1592CT-ND,,,Digikey,1,1.71,,1.71,,,https://www.digikey.com/products/en?keywords=XC1592CT-ND
51,,,,,PCB,,,,JLCPCB,1,6,,6,,,
Total,,,,,,,,,,,,,211.42,,,
